pH,Calcium,Magnesium,CEC,Cadmium,Lead,Rainfall,Soil_Type,Crop,Recommended_Dosage_T_ha,Yield_Gain_percent,Contamination_Risk,Risk_Class
7.561810178271044,603.6217965253388,212.0642385194555,23.271560228053897,0.03306100975516874,15.49043706814255,196.85360026743075,loamy,olive,2.7698932773001776,22.683810783190925,1.0,1
8.426071459614874,678.0088383148234,93.09659052629155,15.50720963638996,0.004921595918530895,22.655656402865233,160.3627741385473,loamy,date_palm,2.1922530990949785,18.674119443319313,0.7023173147628664,0
8.097990912717108,350.2807392754994,268.0986408387037,19.498205436721687,0.012874160761233211,17.317336639033662,170.78636648718813,clay,olive,2.2379482132408914,18.29526138186157,0.7184950012584428,0
7.897987726295555,574.9244597641994,203.27905976731037,13.720965959451757,0.03891028797748329,3.4157749102420953,207.5087174022176,loamy,barley,1.6777850435928752,9.559705977224853,0.7861926213545213,0
7.234027960663655,543.0475898862492,89.30097088923856,17.600691550848765,0.026905606830262167,6.381826866723107,231.4459044500191,sandy,tomato,3.945523812197824,25.782152753898803,0.8468625447642206,0
7.233991780504304,699.6982260729626,290.5845143703017,11.811518748422374,0.04647048402756519,7.360517336896655,140.83282012596635,sandy,tomato,2.5155025446965116,13.440167450569799,1.0,1
7.087125418252299,743.6522362887563,179.59136583383017,11.023180395708907,0.022008819008726362,8.478063355700503,151.3115193956606,clay,date_palm,2.483878876538919,15.104953015966732,0.698403862368019,0
8.299264218662403,207.29406288643207,68.22461296791374,16.564595723390276,0.04362080592488223,17.396698366564625,239.6109094543619,clay,date_palm,1.7931130769724255,13.315053900849232,1.0,1
7.901672517614813,604.4119514352756,206.7082261037668,14.962593483679607,0.02299881643643364,15.615007614936411,186.77676886141683,sandy,barley,2.2052925994566035,17.56469105592478,0.8337058068017611,0
8.062108866694068,231.10147947183742,113.29972675320255,16.59072738299962,0.04898316565639728,6.891641112562059,126.84427257025015,sandy,barley,1.4402831394132252,6.434567715655158,0.9878029582502583,1
7.030876741443704,529.3151990464136,250.9233629693256,10.73321162574046,0.04803188468854497,2.959090460214925,199.55427083685743,clay,date_palm,2.207067461283138,8.424665273157764,0.956225476435124,1
8.454864778242992,372.5796374262069,254.45551839154766,12.339156636339904,0.017127698572247937,5.971533929766824,248.61432333090696,sandy,tomato,2.732370264954691,15.32422267112703,0.5949357783754308,0
8.248663961200632,384.0659597132847,294.7368389636655,6.677959212578186,0.04441025985042336,29.547058065939495,223.51803467056,sandy,barley,1.2880182241246665,1.665399625325167,1.0,1
7.318508666017414,411.7751020714139,175.46738275612591,6.045527445444114,0.04253295733656681,14.587861543952696,211.8611704827104,clay,date_palm,1.8332285615544244,7.205561001154783,1.0,1
7.272737450810651,572.7754694297661,163.7392199319343,10.069142593460326,0.011323339469050578,26.15301963636126,131.2069981399404,loamy,barley,2.0839741166500105,14.515426584218137,0.8596284140949848,0
7.27510676478015,400.42997940126156,238.36890136162015,6.484937186610916,0.031590229638380214,25.613821533396454,231.42096770260108,sandy,barley,2.244879958606142,10.616515113932381,1.0,1
7.456363364439307,639.6194303541682,83.11766408548164,7.075494172694814,0.004561433463900928,15.834067166423337,178.86832653033196,loamy,olive,2.3625519221838847,13.118570650381464,0.5741069990616915,0
7.787134647448356,442.7164313443218,186.72887844828105,21.25856810787874,0.04199882530858962,21.493943545355762,233.39350331079334,loamy,barley,2.225517641006592,17.68404843158381,1.0,1
7.647917527963173,241.01192018597516,186.56190003271274,5.7774739403337865,0.00955274829167133,6.589808301968656,149.4741744137319,sandy,date_palm,2.403093352313194,13.65229431494585,0.4673348585994986,0
7.436843710297063,670.2559054904643,72.3682807025968,18.178855878694854,0.004469920367902461,20.96350444288034,109.30765789531492,loamy,barley,2.4285566399423097,19.653299449131882,0.6806034255715285,0
7.917779342083569,371.4549947556236,154.49602137672838,10.451154976308011,0.02061073568140175,8.899152798635395,171.39639529896192,clay,date_palm,1.8563743965562405,13.709730014963752,0.6356540429182334,0
7.209240790978063,459.66012775955755,263.3211996418005,22.430913614162527,0.029269184791382533,25.12980080587037,140.47564072268165,sandy,olive,3.095456691853059,21.276246548089787,1.0,1
7.438216972802827,611.2663299331409,264.03840549866504,14.69984569154999,0.04289093096942878,3.4279998601583874,207.28439346644473,sandy,olive,2.5100205111943854,18.261375880898406,0.9127256026401503,1
7.549542764940537,399.4736942892272,74.80941622992025,11.111529186556515,0.04873788375056509,23.421021513673047,243.56598292840485,loamy,tomato,2.3641557346460207,10.495971965052666,1.0,1
7.684104976325554,233.95139368802938,72.68022068695771,15.352778713788691,0.022535133115923322,3.8981702904899667,203.64612267273458,sandy,olive,2.7414106928120843,21.590548047009367,0.635303257973616,0
8.17776394208952,424.35262820768816,115.67386925048382,12.639160380905377,0.0039618992262782406,26.55448786993496,233.0400894563805,sandy,olive,2.7021009319390448,16.22050852560471,0.8066863203479964,0
7.299510673237539,766.6691496165821,268.69151563849834,16.286021293396605,0.03770666337226766,9.821931025915108,167.95360204018095,loamy,date_palm,2.5555062299462485,16.556243135624,0.966479069498017,1
7.771351657620418,585.0406383791349,82.22564626837473,7.290657366526965,0.028693489554972935,19.977407580086666,215.74611057929525,loamy,tomato,2.1902626532307616,9.713162919654824,1.0,1
7.888621853293063,602.8874892003241,229.99920065686157,24.939810056251023,0.022946675897378695,15.137566079988115,226.45651550075553,sandy,olive,3.2588401802968145,26.214589568208794,0.9076586744841879,1
7.069675619079996,579.3692921825839,75.2914049032758,13.511117553934351,0.016154175060817295,11.622791212607831,206.63134413753136,sandy,barley,2.9384997996990374,17.52506329827034,0.709848434140339,0
7.911317277852158,319.3952833756621,205.78446343695634,11.964612794147374,0.02561752786433325,19.7178131623214,176.1665929104347,clay,tomato,2.04876642315915,13.049666828309546,0.9425204950641587,1
7.255786185530937,451.00031846136807,139.0168247797862,19.2041969663253,0.017595300618394517,28.4781664359859,193.87991644230522,clay,olive,2.9151164393984046,19.196646929599552,1.0,1
7.0975773894779195,650.563879017991,247.22849074146674,12.27798812990665,0.03809358151962065,2.196822673864034,205.07604935183204,sandy,tomato,3.2665511910945724,19.309043402806687,0.8766642715591564,0
8.42332830588,260.8237385318955,108.4226122063409,21.66548610057515,0.027650791128139413,27.646732820610023,137.96266048321402,sandy,olive,2.0980640011837903,15.07993281205679,1.0,1
8.448448049611839,366.71166565382737,209.80045734748995,14.085414487208505,0.04396554093355149,18.66336799560939,221.4368891372477,clay,date_palm,1.3906640622140725,11.557761702083953,1.0,1
8.212596022174692,365.79146507951214,108.92063364397123,19.3911682653087,0.027633651817822662,24.412114722302515,242.54868084509098,loamy,tomato,2.8241563752573247,17.121889786705058,1.0,1
7.456920653760056,459.2113565567036,228.41507077803846,7.149064328837731,0.012674858253656572,12.132373649594049,169.7858972769904,sandy,tomato,2.9506075896408466,13.653922017717374,0.6688189539679973,0
